"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R9,R7,R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"10kΩ";;;
2;"JP2";"PinHeader_1x03_P2.54mm_Vertical";1;"BL Control";;;
3;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"TFT Reset";;;
4;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C";;;
5;"C5,C4,C3";"C_Disc_D4.3mm_W1.9mm_P5.00mm";3;"100nF";;;
6;"U4";"DIP-8_W7.62mm";1;"TXS0102DCT";;;
7;"J2";"TFT-1.8-AK";1;"TFT AK";;;
8;"Q2";"TO-92_Inline";1;"2N7000";;;
9;"J3";"TFT-1.8-RGB";1;"TFT RL";;;
10;"J6";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"LiPo-Bal";;;
11;"Y1";"Crystal_HC18-U_Vertical";1;"16MHz";;;
12;"U3";"TO-92_Inline";1;"LM4040LP-4.1";;;
13;"SW7";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Menu";;;
14;"SW3";"SW_Tactile_Straight_KSL0Axx1LFTR";1;"T3";;;
15;"SW2";"SW_Tactile_Straight_KSL0Axx1LFTR";1;"T2";;;
16;"SW1";"SW_Tactile_Straight_KSL0Axx1LFTR";1;"T1";;;
17;"R25,R24,R23,R22";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"1MΩ";;;
18;"R21";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"2MΩ";;;
19;"R20";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"560Ω";;;
20;"R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10MΩ";;;
21;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100kΩ";;;
22;"R1,R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"5,6kΩ";;;
23;"Q4";"TO-220-3_Vertical";1;"LM117T 3.3";;;
24;"Q3";"TO-220-3_Vertical";1;"LM7805";;;
25;"J9";"PinHeader_2x03_P2.54mm_Vertical";1;"ISP";;;
26;"J5";"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical";1;"Power 12V";;;
27;"J4";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"12V";;;
28;"J1";"PhoenixContact_MSTBVA_2,5_4-G_1x04_P5.00mm_Vertical";1;"Soldering iron";;;
29;"IC1";"DIP-8_W7.62mm";1;"OP703PA";;;
30;"C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"C";;;
31;"C1";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"10nF";;;
32;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
33;"U2";"DIP-16_W7.62mm";1;"4050";;;
34;"R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"R";;;
35;"R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1kΩ";;;
36;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"68kΩ";;;
37;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100Ω";;;
38;"Q1";"TO-220-3_Vertical";1;"IRF5305";;;
39;"D1";"D_DO-15_P2.54mm_Vertical_AnodeUp";1;"LED";;;
40;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
